,Gene,adipose tissue,adrenal gland,amygdala,appendix,basal ganglia,bone marrow,breast,cerebellum,cerebral cortex,cervix,choroid plexus,colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,hippocampal formation,hypothalamus,kidney,liver,lung,lymph node,midbrain,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spinal cord,spleen,stomach,testis,thymus,thyroid gland,tongue,tonsil,urinary bladder,vagina,Adrenocortical cancer,Bile duct cancer,Bladder cancer,Bone cancer,Brain cancer,Esophageal cancer,Gallbladder cancer,Gastric cancer,Kidney cancer,Leukemia,Myeloma,Neuroblastoma,Non-cancerous,Rhabdoid,Sarcoma,Uncategorized,Uterine cancer,breast cancer,cervical cancer,colorectal cancer,head and neck cancer,liver cancer,lung cancer,lymphoma,ovarian cancer,pancreatic cancer,prostate cancer,skin cancer,testis cancer,thyroid cancer
8928,ENSG00000148288,9.6,10.2,2.8,10.6,3.0,9.9,6.3,3.8,2.7,5.2,17.3,5.2,3.2,6.5,2.6,3.5,7.2,7.2,6.5,2.8,3.4,5.4,1.3,9.4,9.4,5.1,12.1,3.3,4.5,4.1,12.4,5.9,3.1,1.0,4.7,4.0,2.1,3.4,6.5,6.4,3.8,8.7,21.6,1.3,2.6,6.5,2.8,7.9,5.8,6.1,0.1,1.3,1.3,3.0,1.7,2.0,0.4,1.3,1.6,27.2,0.6,2.8,4.7,0.7,1.7,2.8,1.3,2.4,1.0,1.5,2.0,1.2,1.6,2.4,2.1,1.9,0.8,3.4,1.8,1.8
8996,ENSG00000148795,0.4,7970.9,0.3,2.1,0.5,0.0,0.4,3.0,0.5,1.1,0.0,0.5,0.0,0.7,0.1,0.9,1.0,0.4,0.9,0.5,0.2,51.0,6.5,1.3,0.0,0.5,64.9,1.7,10.1,0.6,0.0,0.7,0.0,0.2,3.3,0.0,0.9,0.7,0.6,0.0,0.2,0.9,1.3,95.4,0.0,2.8,0.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9014,ENSG00000148942,0.1,0.0,0.1,0.0,1.3,0.5,0.0,0.0,0.3,0.0,0.0,0.2,4.7,0.1,46.6,0.0,0.1,0.1,4.1,0.1,0.1,165.6,1.6,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.5,0.0,0.1,0.7,0.0,0.0,0.0,0.2,29.2,0.0,0.1,0.5,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.1,1.0,0.1,0.7,0.1,0.2,0.4,0.6,0.1,0.3,0.1,0.2,0.4,0.3,0.3,0.3,0.6,1.0,0.5,0.2,0.4,0.2,0.2,0.2,3.0,0.8
9031,ENSG00000149124,45.3,0.1,0.0,0.1,0.0,0.1,8.3,0.0,0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.4,0.2,0.0,0.0,550.4,676.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,1.1,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.3,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.1,0.1,0.0,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0
9035,ENSG00000149150,13.5,10.3,2.4,4.6,2.3,35.3,10.7,2.3,2.9,12.7,2.4,15.1,8.4,12.1,10.0,4.2,13.1,17.5,8.3,2.2,1.9,7.1,125.5,9.6,7.2,2.8,19.7,225.9,1.8,4.3,6.1,12.4,9.1,1.3,13.4,6.0,16.5,18.3,8.9,8.4,1.5,8.3,29.6,3.3,2.0,12.3,8.7,6.4,15.6,9.5,0.6,17.7,3.4,14.0,5.3,5.8,0.1,30.8,1.2,48.3,40.7,7.2,7.2,3.8,9.8,10.3,6.9,3.3,6.3,19.9,2.1,34.0,9.0,44.2,5.9,7.0,32.8,9.4,0.4,8.9
9070,ENSG00000149452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.0,273.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,322.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9208,ENSG00000151012,0.2,0.1,11.3,2.2,11.1,0.9,0.4,2.8,13.1,0.8,3.3,0.7,0.4,0.3,6.6,2.5,4.3,1.6,1.7,6.6,5.4,0.1,0.2,1.6,0.4,7.7,0.4,2.6,0.3,0.8,0.7,0.6,1.0,4.1,0.7,0.1,0.0,0.6,0.4,0.1,5.2,0.3,4.8,0.7,0.3,4.4,0.0,0.7,2.6,0.5,5.6,21.8,25.3,22.9,31.1,38.1,158.2,29.2,23.4,9.3,13.6,3.9,35.7,6.6,7.8,13.3,19.1,9.5,23.2,15.8,20.5,23.3,29.1,9.2,21.4,19.3,12.5,24.7,3.6,12.5
9248,ENSG00000151360,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
9313,ENSG00000151790,0.3,1.5,0.5,16.1,0.1,0.0,0.1,0.0,1.6,0.2,0.0,1.2,3.5,0.4,0.6,0.7,0.3,1.8,0.0,0.8,0.4,0.6,767.4,3.1,3.0,0.6,0.3,0.3,0.1,3.9,0.6,0.2,1.3,0.0,0.3,0.2,0.2,0.0,5.8,2.5,0.5,1.8,1.6,0.4,0.2,0.2,0.0,2.6,7.3,0.0,0.0,0.1,0.8,1.9,4.2,0.7,0.0,0.7,1.5,0.4,2.3,0.9,0.2,0.8,0.5,0.2,0.2,3.3,0.2,4.7,0.3,5.1,1.0,0.5,0.7,0.2,0.0,4.4,0.0,2.6
9393,ENSG00000152463,1.5,0.9,0.4,0.2,0.5,1.1,5.3,0.1,0.4,0.8,0.7,0.2,0.1,0.3,0.3,2.9,1.7,0.9,0.2,0.4,0.3,1.1,0.3,1.7,0.3,0.5,0.2,0.1,0.2,1.0,3.1,0.2,0.0,0.7,2.6,0.1,0.2,0.6,0.5,0.1,0.2,8.7,0.3,26.1,0.1,0.4,0.3,0.0,0.2,0.7,0.0,0.6,0.2,0.4,0.5,0.7,0.2,0.3,0.7,0.8,1.5,0.5,0.7,0.5,1.2,0.6,0.7,0.6,0.2,0.2,0.5,1.3,0.5,1.3,0.8,0.3,0.2,0.3,2.3,0.2
9469,ENSG00000153086,0.0,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.9,0.1,0.0,0.0,0.0,6.9,0.2,0.0,0.0,135.9,157.5,0.1,0.3,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.4,0.0,0.5,0.0,0.0,0.1,0.0,0.2,0.7,0.2,0.4,0.3,0.2,0.2,0.6,3.6,0.3,0.2,0.4,0.7,0.1,0.2,0.2,0.9,0.3,0.2,0.5,0.2,2.2,0.7,0.4,0.6,0.2,0.3,0.3,0.8,0.3
9560,ENSG00000154025,0.2,0.2,0.1,0.6,0.1,2.3,0.2,0.0,0.1,0.3,0.0,0.2,0.1,0.1,0.0,0.4,0.1,0.1,0.9,0.1,0.1,40.1,0.5,0.4,0.8,0.1,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.8,1.3,0.0,0.1,3.4,0.1,0.5,0.0,0.3,0.0,0.0,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.5,0.0,0.0,0.0,0.7,0.2,0.0
9561,ENSG00000154027,1.2,1.5,76.9,1.4,83.0,4.4,18.3,3.1,129.2,1.3,4.0,2.5,1.0,0.7,0.6,1.0,0.9,1.0,0.9,89.3,31.0,1.4,0.1,0.4,2.3,30.8,0.9,1.6,0.7,3.3,1.2,2.3,1.0,3.0,2.9,2.1,0.4,2.1,1.0,0.8,41.3,2.1,2.4,9.3,0.8,1.1,0.7,1.4,0.7,0.7,0.7,5.2,7.5,9.2,10.2,2.8,8.8,7.3,23.3,3.6,4.5,8.7,35.2,9.7,52.8,14.6,2.8,4.5,2.1,5.6,1.1,8.0,6.8,2.4,8.2,6.3,10.6,15.2,0.3,12.0
9597,ENSG00000154269,1.2,6.0,0.2,1.0,0.3,0.1,6.4,1.3,0.3,31.0,0.2,9.0,15.7,3.6,1.2,0.5,2.2,1.3,0.1,0.2,0.4,9.7,4.9,0.9,0.5,0.3,0.5,0.1,0.3,0.1,0.1,2.3,8.1,0.3,17.6,15.1,0.1,0.6,43.2,0.8,0.2,0.3,0.5,0.8,9.4,0.3,0.2,0.4,0.4,0.7,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.9,4.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.3,1.3,0.0,1.1,0.2,3.1,0.0,0.2,1.1,0.1,0.0,0.3
9771,ENSG00000156006,0.1,0.1,0.2,1.5,0.4,0.0,1.1,0.1,0.2,0.5,0.0,14.5,32.5,0.8,0.7,0.1,0.2,0.2,0.2,0.1,0.1,1.8,124.6,0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.5,0.4,12.8,0.0,0.0,0.4,0.0,0.0,24.9,1.5,0.1,1.2,0.1,0.4,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.3,0.1,0.1,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.4,0.0,2.2,0.0,0.1,0.1,0.0,0.3,0.2,0.1,0.0,0.1,0.1
9782,ENSG00000156096,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11.5,0.0,0.0,1.2,1234.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.8,0.0,32.2,1.8,0.0,0.0,0.0,1.7,0.0,0.0,0.0
9799,ENSG00000156222,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.3,0.0,0.0,36.8,0.0,0.5,0.1,0.6,0.2,0.9,0.0,0.0,46.9,108.6,0.0,0.2,0.0,0.0,0.0,0.2,0.2,1.1,0.0,0.0,0.0,0.1,0.0,1.4,0.0,47.7,0.0,0.1,0.0,0.1,0.1,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.1,3.9,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.6,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.0
9822,ENSG00000156413,0.1,0.0,0.0,2.5,0.0,0.3,1.6,0.0,0.1,16.8,0.0,16.8,27.8,0.3,0.0,77.2,0.5,8.9,0.0,0.0,0.0,35.1,12.1,0.2,0.1,0.0,0.0,3.6,0.0,0.0,0.0,0.2,11.3,2.0,44.3,2.4,0.0,0.0,26.3,0.4,0.0,0.1,4.7,0.2,0.0,0.0,0.0,6.5,0.0,25.2,0.0,2.9,0.1,0.0,0.0,0.5,0.4,4.4,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.1,1.3,0.2,7.9,1.0,0.7,1.1,0.0,0.5,0.7,0.1,0.0,0.0,0.0
9856,ENSG00000156689,0.2,0.1,0.5,0.1,0.2,0.1,11.6,0.1,0.3,19.2,0.0,0.1,0.3,0.4,0.3,0.9,0.1,7.3,0.3,0.4,0.5,0.9,0.1,0.0,0.3,0.7,0.0,0.1,0.0,0.1,0.0,0.9,0.2,0.3,32.4,0.1,0.0,1.3,0.1,0.3,1.8,0.2,0.1,0.0,0.1,0.1,0.4,0.4,0.1,0.3,0.1,0.0,0.1,0.7,0.8,0.2,0.0,0.0,1.6,1.0,0.0,0.5,1.0,0.1,1.5,1.0,0.1,15.2,0.0,0.0,0.1,0.1,0.2,0.6,0.1,0.0,2.2,0.2,0.0,0.7
9874,ENSG00000156885,1.8,0.9,2.6,0.0,2.2,0.0,2.8,2.8,2.4,0.4,0.0,1.4,1.0,1.0,0.0,72.3,0.9,0.0,3783.0,2.2,6.0,4.4,15.5,3.2,0.4,3.3,1.2,2.9,2.7,11.6,0.1,37.4,0.0,1.0,89.3,0.1,6514.9,3.4,1.2,0.0,2.3,0.5,1.3,1.2,0.4,1.9,2009.4,0.1,0.3,1.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,3.3,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.3,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.4,0.0,0.2
9900,ENSG00000157103,1.8,0.9,92.2,0.4,93.9,2.2,1.0,44.6,107.9,3.2,4.3,1.1,0.4,1.2,3.0,8.8,1.2,1.2,4.0,66.9,50.5,2.9,85.4,2.0,0.5,67.5,2.0,0.3,15.5,3.5,0.8,2.3,0.5,36.1,0.3,4.1,2.7,1.7,0.9,0.5,42.0,0.8,0.5,4.0,17.3,0.7,0.8,0.4,0.9,2.5,0.1,0.4,0.5,0.9,0.4,0.5,0.4,0.3,0.5,0.8,0.6,0.4,0.2,0.3,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.2,0.3
9974,ENSG00000157765,0.4,0.7,0.1,0.3,0.1,0.0,18.5,0.7,0.1,64.2,7.5,0.1,16.0,33.5,0.1,1.4,67.5,8.7,0.1,0.1,0.1,16.2,1.2,729.3,0.1,0.0,1.3,7.0,0.0,2.0,4.6,1.0,0.0,0.4,87.6,16.2,0.1,2.5,4.2,0.2,0.0,0.7,2.5,2.6,2.1,32.6,0.0,7.2,0.2,0.1,0.0,1.7,0.4,2.3,0.2,0.3,0.3,1.9,53.2,0.6,0.2,0.1,1.6,2.2,0.2,2.8,52.8,6.2,0.7,0.5,0.6,9.9,20.8,0.2,115.1,54.6,18.7,0.1,0.4,0.3
10016,ENSG00000158104,2.3,5.1,0.4,0.6,0.3,0.9,4.5,0.2,0.6,2.0,491.4,1.2,0.1,4.0,0.7,0.7,6.2,1.1,3.3,0.9,0.5,511.3,2452.6,1.9,0.3,0.7,4.6,3.8,0.1,1.1,0.3,2.2,0.5,0.3,0.2,7.1,2.1,0.2,0.9,1.3,1.1,2.2,1.8,9.9,0.1,0.7,0.1,0.1,3.6,1.8,0.6,3.6,0.5,3.9,2.0,0.8,1.6,0.9,2.5,1.3,0.7,0.5,0.7,39.7,0.7,2.1,1.4,0.7,0.9,0.8,0.7,40.7,14.8,0.6,2.0,0.6,0.8,0.2,6.4,0.6
10021,ENSG00000158125,0.2,0.0,0.0,4.6,0.0,0.1,40.8,0.0,0.0,0.3,0.0,10.7,43.7,0.8,2.2,9.5,0.1,4.4,0.0,0.0,0.0,0.2,66.4,0.3,0.0,0.0,0.0,0.4,0.0,1.4,0.1,1.2,9.2,0.1,3.5,0.1,0.5,1.0,48.1,0.7,0.0,0.0,3.1,0.1,0.2,0.3,0.0,2.2,2.6,1.9,0.5,1.1,5.8,0.9,0.8,3.3,6.5,1.9,0.5,0.1,0.7,0.1,3.5,0.0,1.6,2.7,5.4,2.1,3.5,1.5,13.0,0.8,2.7,0.1,6.8,8.5,0.8,0.5,1.5,1.2
10039,ENSG00000158296,1.3,2.3,6.6,0.6,7.5,0.2,1.8,6.7,9.1,2.0,8.3,0.8,0.3,1.8,1.0,0.9,2.3,1.8,1.0,9.1,8.3,392.3,21.0,1.4,0.5,13.7,3.8,8.7,0.2,2.5,41.7,6.1,0.5,1.1,4.7,0.8,1.0,2.2,0.4,1.9,20.2,0.5,4.6,8.4,1.1,1.3,0.3,0.7,1.8,1.3,2.3,1.7,4.2,3.2,1.6,4.6,0.2,4.0,2.4,4.5,1.9,0.4,4.2,3.0,3.4,8.1,5.9,4.5,0.7,1.8,5.7,7.8,6.1,0.4,2.5,3.8,7.8,6.5,1.0,2.2
