,Gene,adipose tissue,adrenal gland,amygdala,appendix,basal ganglia,bone marrow,breast,cerebellum,cerebral cortex,cervix,choroid plexus,colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,hippocampal formation,hypothalamus,kidney,liver,lung,lymph node,midbrain,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spinal cord,spleen,stomach,testis,thymus,thyroid gland,tongue,tonsil,urinary bladder,vagina,Adrenocortical cancer,Bile duct cancer,Bladder cancer,Bone cancer,Brain cancer,Esophageal cancer,Gallbladder cancer,Gastric cancer,Kidney cancer,Leukemia,Myeloma,Neuroblastoma,Non-cancerous,Rhabdoid,Sarcoma,Uncategorized,Uterine cancer,breast cancer,cervical cancer,colorectal cancer,head and neck cancer,liver cancer,lung cancer,lymphoma,ovarian cancer,pancreatic cancer,prostate cancer,skin cancer,testis cancer,thyroid cancer
23,ENSG00000002587,2.5,2.4,1.3,2.6,0.9,2.0,1.8,12.3,1.9,2.4,0.8,2.0,3.6,3.3,1.3,11.3,4.3,12.3,1.8,1.4,1.5,5.8,0.4,1.7,2.3,1.7,30.9,1.0,0.1,4.5,0.7,2.0,1.0,0.9,5.5,1.5,0.3,0.5,2.8,0.8,1.8,3.2,6.3,1.3,1.3,1.6,0.2,1.2,13.9,2.5,0.0,11.6,12.3,1.7,1.8,8.6,19.1,8.0,2.5,0.4,0.3,0.7,1.2,0.5,0.1,1.0,3.9,1.6,3.5,9.2,12.0,0.6,5.4,0.5,4.2,29.8,1.8,1.5,0.2,2.1
24,ENSG00000002726,0.7,0.1,0.0,12.6,0.0,1.9,0.2,0.0,0.4,6.9,0.0,137.6,178.8,2.0,1.9,3.2,0.1,1.7,0.6,0.0,0.0,131.7,5.6,0.6,1.2,0.0,0.1,1.4,0.0,0.0,479.6,5.8,91.2,0.1,0.6,1.0,0.1,1.3,221.1,3.3,0.0,0.5,17.5,2.0,2.0,0.2,0.0,3.7,0.8,0.4,0.1,19.3,1.0,0.3,0.8,1.5,0.8,16.5,0.5,2.6,1.2,0.7,0.3,0.9,0.3,0.1,0.9,4.6,1.0,48.4,2.3,0.6,4.4,0.9,3.0,10.3,1.7,0.6,0.3,8.6
33,ENSG00000003137,25.3,4.2,12.1,1.9,2.8,0.1,14.5,37.3,7.4,4.8,2.0,3.1,3.6,2.4,1.4,3.8,5.4,1.1,8.2,3.6,2.5,8.6,0.9,2.6,4.8,5.5,4.1,0.6,0.8,9.1,3.1,2.6,1.2,4.1,9.6,7.0,5.7,30.4,4.6,1.5,1.3,3.4,1.2,13.4,18.8,14.0,2.2,2.8,3.1,4.1,19.1,6.9,7.4,14.0,8.7,5.3,3.5,5.6,13.1,0.5,0.2,0.8,4.9,38.6,7.0,2.0,5.2,6.4,5.7,2.2,8.5,12.7,8.7,2.1,4.7,5.4,2.1,3.1,1.1,2.3
43,ENSG00000003989,27.7,11.2,3.8,3.4,4.3,0.2,16.7,1.2,7.1,31.4,20.8,6.0,2.3,14.7,17.4,10.9,41.2,10.8,11.8,3.1,1.5,7.7,171.5,7.3,2.7,1.7,81.7,80.5,216.8,6.9,9.5,13.8,4.1,17.0,4.9,6.9,110.4,7.8,4.3,12.9,3.3,3.7,8.1,15.0,3.0,43.7,44.0,3.4,10.1,14.4,1.7,6.8,4.8,10.4,3.0,3.6,0.1,14.8,3.1,3.9,3.1,17.3,8.3,5.8,7.3,24.6,4.9,13.1,8.0,4.3,4.8,16.5,10.8,0.9,17.1,6.0,13.8,10.4,21.6,11.7
49,ENSG00000004468,3.0,2.3,2.8,12.6,7.0,13.4,2.0,0.4,13.8,0.7,0.6,4.3,5.6,0.9,1.2,1.1,2.9,1.8,3.7,3.0,3.1,0.7,3.2,6.1,22.7,4.0,0.4,0.3,0.1,1.7,0.5,12.7,3.4,0.2,2.5,19.0,20.6,0.2,5.2,1.3,1.1,16.5,2.9,0.9,61.7,2.0,3.3,17.5,6.6,0.5,0.0,0.1,0.3,0.2,0.3,0.7,0.1,2.2,0.2,25.9,35.3,0.2,0.2,0.1,0.3,0.1,0.2,0.3,0.0,0.3,1.9,0.2,1.5,43.3,0.2,0.3,0.1,0.2,0.2,0.4
67,ENSG00000004939,0.3,0.1,0.1,0.1,0.1,397.2,0.0,0.5,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.1,0.1,25.2,1.1,1.0,0.1,0.2,0.0,0.0,0.0,0.3,10.5,0.0,0.0,0.2,0.2,0.0,0.7,0.2,0.0,0.0,0.2,6.9,0.1,0.2,0.7,0.1,1.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,15.2,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1
93,ENSG00000005381,0.5,0.2,0.8,0.2,1.1,3400.6,0.3,0.6,1.5,0.0,0.0,0.2,0.0,0.2,0.2,0.1,0.1,0.0,1.1,0.9,0.9,0.2,1.7,8.1,1.3,1.0,0.1,0.1,0.0,1.5,0.9,0.2,0.1,0.1,10.2,0.0,1.1,3.8,0.2,0.1,0.4,21.2,0.1,0.4,7.2,0.3,0.1,0.1,0.2,0.1,0.0,0.8,0.9,0.8,0.5,1.0,0.7,0.3,0.8,854.7,0.2,0.3,0.5,0.7,1.1,0.0,0.2,0.3,0.1,0.8,1.0,0.4,0.2,0.4,0.2,0.3,0.1,0.7,0.0,0.8
98,ENSG00000005471,0.7,7.2,0.2,2.4,0.2,0.9,0.5,0.1,0.2,0.3,0.1,1.0,0.4,0.2,0.6,0.6,0.2,0.8,6.4,0.3,0.3,0.6,119.4,0.2,5.8,0.3,0.4,0.1,0.0,0.2,0.1,0.5,1.1,0.4,0.6,0.4,7.2,1.4,2.1,0.3,0.2,4.9,0.6,1.0,0.7,0.5,4.6,5.0,1.2,0.5,0.0,0.0,0.1,0.8,0.8,0.1,0.1,0.2,0.6,1.9,0.6,1.4,0.7,0.0,0.3,0.3,0.7,0.3,0.0,0.7,0.1,1.4,0.4,2.8,0.3,0.1,0.1,9.0,0.5,3.1
121,ENSG00000006071,0.3,2.0,6.5,0.0,8.3,0.0,1.7,42.2,17.2,3.3,0.7,0.7,0.1,2.5,0.8,0.1,0.6,0.0,1.5,8.1,7.3,0.4,0.0,4.8,0.0,5.1,0.4,19.5,0.1,33.4,0.1,2.0,0.2,1.2,0.0,0.7,1.4,0.2,0.9,0.2,6.1,0.1,5.9,0.3,0.0,3.3,0.6,0.0,0.3,1.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,3.4
168,ENSG00000007171,0.7,0.5,0.9,14.2,0.8,0.0,0.3,0.9,3.4,0.3,0.4,6.5,11.4,0.2,0.0,0.7,0.3,0.3,0.4,0.7,0.5,1.5,0.1,1.7,0.6,0.5,0.5,0.2,0.0,1.3,0.5,0.5,8.5,0.2,0.1,0.1,0.6,0.2,20.2,1.6,0.4,0.1,0.1,1.2,0.2,0.3,0.5,0.1,3.4,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.0,0.5,0.0,0.1,0.0,0.6,0.0,0.1,2.6,0.0,0.1,2.7,0.0,0.1,1.1,0.0,0.7,0.0,0.0,0.8,0.6,0.3
171,ENSG00000007216,0.0,0.0,0.0,0.1,0.0,0.0,5.8,0.0,0.0,0.0,2.2,7.1,125.7,0.0,3.1,0.0,0.0,8.8,0.0,0.0,0.0,41.5,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.8,1.0,46.8,12.2,0.0,3.0,99.9,0.2,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,ENSG00000008311,9.3,5.7,2.4,1.7,2.6,0.2,8.1,1.0,3.8,7.9,23.5,5.1,0.8,9.2,7.3,3.1,11.4,2.1,8.9,2.4,1.7,13.4,43.0,6.1,1.4,2.4,24.4,4.6,6.8,3.4,3.2,5.2,1.4,3.6,3.4,4.7,8.3,2.8,3.5,4.2,4.6,2.8,5.4,2.2,1.4,4.6,6.0,1.3,6.7,6.0,1.0,1.2,3.4,11.2,8.2,2.9,0.9,1.2,1.9,3.1,3.0,3.1,5.5,1.4,5.5,13.8,3.6,1.0,3.1,2.2,2.9,3.6,3.0,1.7,2.8,2.6,1.1,6.9,34.8,3.4
218,ENSG00000008438,1.4,0.2,0.4,1.7,0.7,622.9,0.3,0.6,0.5,0.1,0.2,0.3,0.5,0.1,0.0,0.4,0.6,0.2,1.6,0.5,0.4,0.8,2.5,8.4,0.5,0.5,0.1,0.5,0.0,0.7,0.8,0.2,0.0,0.0,0.5,0.0,0.3,1.0,0.7,0.1,0.3,41.5,0.4,1.0,3.2,0.5,2.2,0.0,0.4,0.2,0.5,0.7,0.5,0.4,0.7,0.7,0.8,0.9,0.5,2.2,2.0,0.7,0.2,1.7,0.4,0.3,0.8,0.4,0.8,0.9,0.3,0.6,0.6,0.9,0.4,0.4,0.5,0.3,0.2,0.5
261,ENSG00000010379,0.2,0.3,8.0,0.0,13.7,0.1,0.0,4.2,11.3,0.1,17.1,0.1,2.5,0.1,0.3,0.0,6.8,0.0,2.5,7.8,6.3,147.4,36.0,0.8,0.0,8.9,0.2,0.0,0.0,2.9,0.0,0.4,0.0,1.0,0.1,0.1,0.5,0.2,0.6,0.0,5.9,0.3,0.1,3.0,0.1,6.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.4,0.1,0.3,1.3,2.3,0.4,0.1,0.2,0.1,0.3,0.0,1.3,0.0,0.1,0.1,0.2,0.7,0.3,0.4,1.0,0.2,0.0,0.3,1.5,0.5
272,ENSG00000010932,4.9,5.4,0.0,0.4,0.0,0.0,9.7,0.0,0.1,6.1,0.7,0.3,0.1,3.0,0.1,3.4,4.0,5.0,0.7,0.1,0.0,191.8,2.9,1.4,0.4,0.1,13.9,2.3,1.0,1.7,2.2,0.4,0.2,0.0,5.2,0.7,0.1,10.2,19.7,4.1,0.1,0.0,0.9,1.5,7.2,2.2,0.8,10.5,2.4,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.4,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
278,ENSG00000011083,0.1,0.0,3.9,0.3,0.8,0.0,0.1,65.6,30.0,0.1,0.5,5.4,1.1,0.0,0.0,0.0,0.0,0.0,0.1,7.0,6.0,0.0,0.0,0.1,0.1,1.3,0.0,0.0,0.0,0.1,0.0,0.0,3.8,0.1,0.2,0.0,0.0,0.0,3.2,0.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
318,ENSG00000012779,16.2,8.2,4.3,8.0,3.0,30.2,12.3,26.7,2.7,5.9,5.2,10.6,2.8,6.7,0.3,10.4,10.7,3.3,6.5,4.2,4.8,8.1,5.4,70.6,6.3,6.9,2.5,22.5,0.8,3.2,3.5,11.4,2.2,0.1,13.7,1.5,2.0,5.4,34.8,4.7,10.6,91.6,9.0,2.1,2.5,4.6,3.5,8.5,38.7,7.7,0.0,4.5,5.6,0.2,0.0,2.7,1.4,3.3,1.9,5.3,5.4,0.0,0.0,0.0,0.0,1.2,1.4,2.2,0.0,4.0,2.1,0.1,2.1,26.3,2.1,12.6,0.9,0.0,0.1,1.6
357,ENSG00000015413,0.6,2.3,0.2,1.9,0.2,0.5,0.5,0.2,0.4,4.0,0.0,1.7,88.2,0.5,1.0,0.3,0.5,3.7,0.3,0.2,0.6,253.3,0.4,0.8,3.0,0.1,1.0,490.7,0.0,0.5,0.8,0.5,0.5,0.3,1.3,1.0,0.0,2.1,376.5,0.4,0.1,4.4,1.5,45.2,1.0,0.8,0.0,0.9,2.2,0.8,0.0,24.9,0.2,2.8,0.1,0.3,0.4,9.4,0.4,12.8,2.3,0.1,0.1,0.4,0.4,2.0,0.1,1.9,3.1,134.1,1.5,3.8,2.7,0.6,8.9,1.6,0.0,0.4,0.1,0.2
360,ENSG00000015520,0.6,0.1,0.1,0.0,0.1,0.0,0.4,0.5,0.1,0.5,0.3,1.5,52.7,0.4,0.0,0.4,0.5,5.6,0.1,0.1,0.0,0.9,46.9,0.2,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.1,0.1,0.2,49.1,0.1,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.7,0.0,0.1,0.0,0.2,0.1,9.2,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.1,0.0,1.5,0.1,7.6,1.1,0.1,0.2,0.1,0.6,0.0,0.0,0.3
366,ENSG00000016391,0.6,2.7,9.6,1.8,11.1,0.6,7.1,8.9,9.7,3.6,9.1,8.6,8.1,2.6,1.4,0.9,2.5,2.6,2.3,6.8,5.3,36.2,34.9,2.3,1.0,8.4,1.3,16.0,8.0,7.6,0.3,5.6,8.9,1.4,14.5,1.0,3.8,2.3,14.3,0.8,3.3,0.5,7.7,6.7,0.2,2.5,1.2,1.2,0.4,0.9,0.0,17.2,1.4,0.7,0.8,2.8,8.4,12.0,1.7,1.3,3.8,1.2,0.5,2.2,1.0,1.6,4.8,7.5,2.3,18.6,1.4,12.5,4.1,5.1,3.1,4.0,13.3,0.2,0.8,1.6
381,ENSG00000018625,36.2,3.9,416.7,1.4,590.4,0.0,26.6,174.1,442.6,9.0,42.2,53.9,3.5,5.4,12.2,32.4,14.0,7.7,139.9,260.4,195.7,3.8,1.2,6.2,0.3,337.3,13.5,1.4,0.3,31.4,3.2,27.6,7.8,56.7,17.7,27.5,850.3,4.6,15.4,7.5,93.3,1.7,15.1,5.6,0.6,3.4,459.6,0.5,28.9,9.4,0.0,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,2.5,6.7,1.6,0.5,0.1,0.0,0.0,0.2,0.1,0.1,0.5,0.0,0.0,0.0,1.8,1.8
387,ENSG00000019186,0.0,0.0,0.2,0.4,0.5,0.0,3.6,0.0,0.3,1.7,0.0,0.0,0.1,14.5,0.2,3.7,0.1,0.0,0.0,0.1,0.7,34.3,0.4,0.7,0.2,0.1,0.0,0.0,0.0,0.2,9.7,2.8,0.0,0.0,0.3,1.9,0.0,0.9,0.0,0.2,0.1,0.0,0.0,0.0,0.2,1.3,0.0,10.3,27.8,1.3,0.0,12.8,17.9,4.9,1.6,40.8,0.4,7.0,19.6,0.1,0.8,0.1,1.4,14.0,1.7,0.1,15.7,2.5,5.4,10.1,33.3,33.1,44.1,0.1,10.3,23.9,3.1,0.7,0.1,24.6
404,ENSG00000021488,0.2,0.1,0.3,0.1,0.5,0.0,0.2,0.7,0.4,0.8,0.1,0.7,76.1,0.4,1.4,0.2,0.5,0.2,0.1,0.4,0.4,65.7,16.8,0.2,0.1,0.3,0.6,0.2,0.0,0.7,0.1,0.9,0.2,1.0,0.2,0.2,0.0,0.3,121.3,0.2,0.2,0.3,0.2,0.4,0.2,0.8,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.4,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.2,0.1,0.1,0.7,0.1,3.5,0.5,0.0,0.2,0.1,0.2,0.0,0.1,0.0
409,ENSG00000021826,2.5,0.3,1.7,0.4,2.2,0.0,1.5,0.4,1.3,0.8,0.4,0.7,206.0,1.5,2.7,1.3,0.8,1.4,1.1,1.6,1.8,1.8,1031.6,0.9,0.2,7.3,2.6,0.7,0.1,0.8,2.4,0.7,0.4,0.3,0.5,0.8,0.5,1.2,120.0,2.0,9.1,1.0,0.5,5.8,0.2,1.7,0.5,0.2,0.6,0.6,10.2,10.4,4.0,4.6,8.1,11.1,0.5,5.3,5.1,2.9,1.4,3.8,6.9,10.6,6.3,7.2,6.4,13.6,121.4,7.5,2.6,22.1,42.1,0.6,5.5,2.6,2.8,8.0,18.4,4.6
431,ENSG00000023839,1.5,0.4,0.1,0.7,0.1,0.8,3.0,0.4,0.1,0.4,0.0,0.6,38.0,0.4,0.2,0.3,0.7,23.6,0.2,0.1,0.1,17.8,118.0,0.5,0.7,0.1,0.3,1.1,0.1,0.1,0.5,0.4,0.4,3.8,0.5,0.2,1.1,1.6,39.1,0.2,0.1,1.4,0.6,0.7,0.8,0.4,0.7,0.5,1.3,0.5,2.3,8.6,3.8,2.8,4.5,9.2,3.5,11.1,30.6,0.7,0.6,0.8,1.5,79.2,9.2,2.4,2.5,6.8,3.6,6.4,2.8,63.3,17.7,0.4,5.0,5.2,1.5,16.5,0.3,4.4
525,ENSG00000036473,1.2,0.0,0.1,0.4,0.1,0.0,0.2,0.0,0.2,0.4,0.1,4.8,109.3,0.7,0.0,0.4,0.5,0.4,0.2,0.1,0.2,0.1,366.1,0.9,0.1,0.2,0.1,1.7,0.0,0.0,0.0,0.0,2.4,0.1,0.1,0.1,0.0,0.0,84.9,0.5,0.3,0.0,1.9,0.4,0.0,0.3,0.0,0.0,0.1,0.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,ENSG00000036530,1.9,1.9,51.8,0.3,166.1,0.0,0.8,10.2,90.5,1.4,8.6,0.7,0.2,1.4,0.8,0.2,1.0,0.4,4.6,62.6,37.3,1.4,1.2,0.6,0.6,24.4,1.5,2.1,1.8,16.2,0.0,1.4,0.2,5.0,1.3,0.6,1.1,0.4,0.4,0.8,12.1,0.2,0.6,2.4,0.4,1.7,0.5,0.1,0.9,0.7,0.0,0.0,0.0,0.2,0.5,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.2,0.0,0.7,0.1
528,ENSG00000036565,0.1,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,2.9,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.3,1.1,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,35.1,0.0,0.0,0.6,0.2,0.0,0.1,0.0,0.1,0.0,0.1,1.5,0.0,0.0,0.0,0.0,3.6,0.0,0.0
616,ENSG00000047457,12.5,2.2,9.1,2.1,14.3,0.9,20.1,2.6,5.6,67.7,422.7,12.5,9.5,14.4,0.0,5.4,8.0,1.0,37.9,12.8,11.2,9.2,1815.4,13.0,18.5,18.1,0.7,6.3,3.8,27.8,3.3,7.6,15.9,239.0,38.7,0.9,2.6,12.6,20.2,2.4,17.0,22.6,2.9,1.4,0.5,15.6,8.0,19.5,23.1,2.2,0.1,5.4,1.5,0.1,6.5,2.5,3.2,0.6,49.6,0.1,0.2,0.2,0.4,37.2,8.2,1.8,19.5,10.7,0.1,0.1,13.0,34.6,6.6,0.1,45.2,7.5,0.1,0.2,0.3,2.9
634,ENSG00000048392,11.1,20.6,8.5,11.2,8.1,7.1,11.7,5.8,15.8,12.0,23.4,14.8,14.6,11.2,14.7,10.9,13.1,11.5,16.1,9.3,9.3,23.6,21.9,21.3,19.6,11.3,9.5,13.1,43.5,10.0,13.3,15.1,15.0,21.2,10.6,13.3,29.4,10.7,9.8,11.3,12.3,13.9,9.3,9.4,9.8,38.8,33.5,19.0,10.8,5.2,22.4,13.2,16.7,12.6,20.1,11.9,6.4,26.5,36.6,17.3,14.8,11.3,31.9,28.6,24.0,24.6,19.3,21.5,17.5,13.7,13.4,14.8,17.0,39.5,20.3,13.8,30.1,25.4,70.3,16.3
665,ENSG00000049860,89.2,69.8,25.4,58.0,35.9,59.1,80.3,23.5,30.1,94.1,105.3,101.5,96.2,69.2,313.5,37.4,64.5,95.7,81.6,23.7,29.6,78.6,133.2,107.9,45.9,27.1,63.3,100.6,91.0,45.4,308.6,95.4,113.2,32.6,119.8,52.1,41.8,52.5,73.3,73.4,28.0,63.1,86.0,19.0,28.3,87.0,36.9,39.3,91.2,62.0,121.7,193.2,121.0,74.2,170.4,90.4,98.3,127.5,159.6,64.1,103.1,31.3,180.0,135.7,123.0,203.1,126.6,94.4,90.0,133.0,123.7,140.0,93.8,45.0,111.8,116.4,64.5,228.7,63.4,113.5
675,ENSG00000050438,0.2,3.0,5.0,0.9,6.6,0.6,1.2,12.6,12.0,1.0,1.6,0.4,0.4,0.3,2.4,0.1,1.6,0.2,0.2,9.6,9.1,1.9,0.1,1.1,1.4,9.4,3.1,1.0,2.1,17.4,0.2,0.4,0.4,10.8,0.8,0.5,0.1,0.2,0.7,0.3,6.2,0.9,1.3,11.3,0.6,0.1,0.0,1.2,0.2,0.1,3.1,0.7,1.3,2.8,2.9,0.6,0.2,0.9,1.2,2.6,1.2,24.4,3.0,3.9,2.0,4.9,1.0,4.2,0.7,1.4,0.7,1.0,2.9,1.3,1.6,0.6,1.5,0.7,3.3,2.8
792,ENSG00000059377,12.1,9.3,4.2,26.4,3.5,24.0,7.2,0.7,6.0,4.8,7.8,8.9,9.9,2.9,1.9,5.1,4.7,18.2,3.1,4.0,5.0,5.6,12.0,22.7,11.5,7.9,2.2,3.4,2.8,2.2,13.2,5.5,11.2,1.5,8.7,3.7,0.9,1.2,11.3,11.6,11.9,56.2,9.8,1.3,14.2,1.8,3.1,7.8,12.9,2.0,0.0,6.4,1.8,0.5,3.6,0.8,0.9,3.3,14.7,15.2,1.5,0.4,1.8,0.5,0.9,1.0,1.8,1.4,0.2,4.6,0.4,5.4,1.7,1.4,1.5,2.9,3.9,3.9,0.0,0.9
817,ENSG00000060971,41.3,52.4,46.5,23.3,52.1,44.1,40.0,20.5,44.2,27.4,54.0,55.1,98.1,20.1,43.6,55.2,18.7,28.8,82.1,43.3,38.1,204.7,638.8,33.8,25.5,61.9,23.5,57.6,46.2,24.1,16.6,53.3,49.6,4.7,37.8,24.4,46.5,29.8,87.0,18.1,54.9,40.3,40.9,15.1,27.2,31.2,51.6,29.2,42.1,32.5,28.1,63.9,44.0,24.3,36.1,32.8,61.0,55.3,27.2,41.0,29.1,14.1,41.0,29.2,34.3,31.8,34.4,57.6,36.4,66.2,32.8,57.0,30.8,37.6,36.3,58.0,61.6,53.5,16.6,29.9
818,ENSG00000060982,6.4,5.7,4.2,6.9,4.3,2.4,2.0,0.6,7.3,3.5,1.3,2.9,0.8,8.4,1.0,1.9,7.0,4.3,1.7,3.6,6.3,1.2,1.2,9.3,6.2,8.7,8.5,56.4,0.4,6.4,14.7,0.9,2.5,14.0,1.7,0.8,0.7,0.6,3.5,5.5,5.2,2.0,1.7,6.9,5.1,1.1,1.9,5.1,4.0,1.2,0.0,5.6,28.1,49.6,38.7,21.7,0.4,73.1,22.2,55.1,10.7,66.2,50.7,16.7,66.2,73.3,25.4,11.6,21.9,7.5,26.0,27.4,29.0,83.2,61.4,35.0,5.3,6.4,105.8,21.1
871,ENSG00000064225,10.9,7.1,5.1,3.0,4.9,1.4,4.2,9.4,5.6,3.2,1.3,3.5,1.6,1.6,4.8,1.9,5.0,1.8,22.4,5.3,5.5,10.5,40.8,5.0,1.2,6.3,1.3,3.4,0.8,3.9,6.3,2.1,1.5,1.3,11.9,1.7,4.9,8.9,1.8,1.4,7.2,2.5,4.0,1.2,5.4,2.5,5.6,1.9,1.6,1.3,0.1,1.7,2.3,1.4,3.4,0.8,0.2,2.6,2.4,5.9,32.4,15.7,2.7,0.3,2.3,3.1,4.3,1.7,1.2,1.7,1.4,6.1,2.3,1.5,2.6,2.9,1.1,37.0,3.7,5.0
882,ENSG00000064601,78.1,356.8,32.7,74.9,39.5,78.0,59.9,32.6,46.2,46.1,168.9,173.7,98.9,53.2,38.2,58.6,38.0,86.4,94.0,32.7,32.2,182.9,93.3,88.1,60.3,35.3,60.2,51.4,101.5,42.6,74.3,37.3,166.5,41.9,59.5,47.1,54.0,92.2,106.2,65.5,33.9,105.9,61.5,32.9,22.3,45.9,59.6,57.1,79.6,47.7,73.3,231.0,174.1,101.0,265.7,111.4,131.5,170.3,272.9,80.7,109.4,44.7,259.2,96.3,218.5,213.3,127.8,161.1,136.2,170.6,162.7,266.6,141.3,50.9,141.1,187.4,75.2,414.2,48.1,318.9
1067,ENSG00000069431,22.3,4.6,3.7,2.7,3.9,0.8,8.9,0.4,4.1,7.9,4.3,7.1,2.7,13.6,7.3,4.8,11.9,9.1,23.4,3.1,2.2,5.4,28.5,6.4,2.9,2.6,6.8,3.4,1.5,2.1,2.7,5.6,1.4,2.3,4.4,6.8,39.3,3.3,3.0,14.7,1.6,3.8,7.8,0.9,1.5,6.1,19.9,1.3,5.1,5.0,0.4,0.5,0.9,0.8,1.3,1.6,1.8,1.1,1.6,0.3,0.7,0.7,2.7,0.3,1.3,7.1,0.4,0.6,0.5,1.9,1.1,1.4,1.2,2.2,0.9,0.6,0.7,0.3,0.8,0.8
1071,ENSG00000069535,75.3,49.5,68.3,6.3,91.8,0.1,44.3,15.9,66.0,31.1,93.8,44.9,71.4,115.5,53.7,30.4,94.8,16.7,94.4,60.6,134.0,119.8,308.0,32.0,5.9,88.9,169.0,10.5,15.1,25.2,10.8,80.1,16.0,13.5,76.3,150.2,110.6,9.6,76.9,99.6,67.5,2.3,23.1,8.7,3.7,5.4,62.5,6.9,27.4,24.6,0.0,12.6,3.2,0.3,4.3,1.8,10.1,20.4,9.4,0.4,0.0,2.8,0.9,0.0,0.0,0.3,1.7,4.4,9.8,8.4,0.7,36.5,3.7,4.1,1.5,7.0,0.1,1.5,0.5,1.6
1077,ENSG00000069849,222.0,338.7,58.5,78.7,70.2,62.1,84.2,114.3,68.7,95.4,377.2,141.8,109.4,73.2,36.7,177.2,93.0,53.5,99.4,61.3,86.5,124.5,23.9,185.1,40.3,74.7,174.2,35.6,19.5,164.3,93.5,98.8,162.6,42.2,83.3,44.7,25.8,252.3,121.5,68.8,73.0,64.1,64.2,73.7,50.1,73.5,15.3,55.5,97.3,156.2,146.5,197.6,210.8,128.1,173.7,295.8,156.9,185.4,119.7,131.9,155.2,100.6,196.2,142.4,154.6,198.0,153.0,134.6,364.0,193.7,278.1,118.1,138.2,147.8,152.9,168.2,103.4,279.4,249.4,129.8
