,rxns,subsystems
149,MAR08504,Pyruvate metabolism
150,MAR08506,Pyruvate metabolism
151,MAR08507,Pyruvate metabolism
152,MAR08508,Pyruvate metabolism
153,MAR08509,Pyruvate metabolism
154,MAR08511,Pyruvate metabolism
155,MAR08512,Pyruvate metabolism
156,MAR08514,Pyruvate metabolism
157,MAR08516,Pyruvate metabolism
158,MAR08517,Pyruvate metabolism
159,MAR04280,Pyruvate metabolism
160,MAR00153,Propanoate metabolism
161,MAR03212,Propanoate metabolism
162,MAR03797,Propanoate metabolism
163,MAR03800,Propanoate metabolism
164,MAR04105,Propanoate metabolism
165,MAR04106,Propanoate metabolism
166,MAR04107,Propanoate metabolism
167,MAR04282,Propanoate metabolism
168,MAR04331,Propanoate metabolism
169,MAR04459,Propanoate metabolism
170,MAR04460,Propanoate metabolism
171,MAR04464,Propanoate metabolism
172,MAR04497,Propanoate metabolism
173,MAR04741,Propanoate metabolism
174,MAR08078,Propanoate metabolism
175,MAR09803,Propanoate metabolism
176,MAR09804,Propanoate metabolism
177,MAR00718,Butanoate metabolism
178,MAR00719,Butanoate metabolism
179,MAR01434,Butanoate metabolism
180,MAR01436,Butanoate metabolism
181,MAR03163,Butanoate metabolism
182,MAR04461,Butanoate metabolism
183,MAR04604,Butanoate metabolism
184,MAR05351,Butanoate metabolism
185,MAR07709,Butanoate metabolism
186,MAR04052,Pentose phosphate pathway
187,MAR04304,Pentose phosphate pathway
188,MAR04306,Pentose phosphate pathway
189,MAR04350,Pentose phosphate pathway
190,MAR04351,Pentose phosphate pathway
191,MAR04352,Pentose phosphate pathway
192,MAR04354,Pentose phosphate pathway
193,MAR04398,Pentose phosphate pathway
194,MAR04404,Pentose phosphate pathway
195,MAR04473,Pentose phosphate pathway
196,MAR04474,Pentose phosphate pathway
197,MAR04476,Pentose phosphate pathway
198,MAR04477,Pentose phosphate pathway
199,MAR04501,Pentose phosphate pathway
200,MAR04565,Pentose phosphate pathway
201,MAR04567,Pentose phosphate pathway
202,MAR04568,Pentose phosphate pathway
203,MAR09799,Pentose phosphate pathway
204,MAR09800,Pentose phosphate pathway
205,MAR04623,Pentose phosphate pathway
206,MAR04625,Pentose phosphate pathway
207,MAR04710,Pentose phosphate pathway
208,MAR04841,Pentose phosphate pathway
209,MAR08074,Pentose phosphate pathway
210,MAR08653,Pentose phosphate pathway
211,MAR03998,Purine metabolism
212,MAR04000,Purine metabolism
213,MAR04002,Purine metabolism
214,MAR04004,Purine metabolism
215,MAR04010,Purine metabolism
216,MAR04081,Purine metabolism
217,MAR04082,Purine metabolism
218,MAR04012,Purine metabolism
219,MAR04014,Purine metabolism
220,MAR04020,Purine metabolism
221,MAR04022,Purine metabolism
222,MAR04038,Purine metabolism
223,MAR04040,Purine metabolism
224,MAR04042,Purine metabolism
225,MAR04046,Purine metabolism
226,MAR04048,Purine metabolism
227,MAR04080,Purine metabolism
228,MAR04085,Purine metabolism
229,MAR04086,Purine metabolism
230,MAR04134,Purine metabolism
231,MAR04135,Purine metabolism
232,MAR04168,Purine metabolism
