,rxns,subsystems
2945,MAR07950,Steroid metabolism
2946,MAR07952,Steroid metabolism
2947,MAR07954,Steroid metabolism
2948,MAR07955,Steroid metabolism
2949,MAR07957,Steroid metabolism
2950,MAR07958,Steroid metabolism
2951,MAR07959,Steroid metabolism
2952,MAR07962,Steroid metabolism
2953,MAR07965,Steroid metabolism
2954,MAR07968,Steroid metabolism
2955,MAR02041,Steroid metabolism
2956,MAR07970,Steroid metabolism
2957,MAR07971,Steroid metabolism
2958,MAR07972,Steroid metabolism
2959,MAR07973,Steroid metabolism
2960,MAR07974,Steroid metabolism
2961,MAR07976,Steroid metabolism
2962,MAR07978,Steroid metabolism
2963,MAR07980,Steroid metabolism
2964,MAR07984,Steroid metabolism
2965,MAR07987,Steroid metabolism
2966,MAR01944,Androgen metabolism
2967,MAR01945,Androgen metabolism
2968,MAR01952,Androgen metabolism
2969,MAR01953,Androgen metabolism
2970,MAR01958,Androgen metabolism
2971,MAR01959,Androgen metabolism
2972,MAR01960,Androgen metabolism
2973,MAR01962,Androgen metabolism
2974,MAR01963,Androgen metabolism
2975,MAR01967,Androgen metabolism
2976,MAR01968,Androgen metabolism
2977,MAR01969,Androgen metabolism
2978,MAR01970,Androgen metabolism
2979,MAR01971,Androgen metabolism
2980,MAR01973,Androgen metabolism
2981,MAR01974,Androgen metabolism
2982,MAR01976,Androgen metabolism
2983,MAR01977,Androgen metabolism
2984,MAR01978,Androgen metabolism
2985,MAR01982,Androgen metabolism
2986,MAR01983,Androgen metabolism
2987,MAR02014,Androgen metabolism
2988,MAR02015,Androgen metabolism
2989,MAR02016,Androgen metabolism
2990,MAR02017,Androgen metabolism
2991,MAR02018,Androgen metabolism
2992,MAR02019,Androgen metabolism
2993,MAR02020,Androgen metabolism
2994,MAR02022,Androgen metabolism
2995,MAR02024,Androgen metabolism
2996,MAR02025,Androgen metabolism
2997,MAR01440,Cholesterol biosynthesis 1 (Bloch pathway)
2998,MAR01445,Cholesterol biosynthesis 1 (Bloch pathway)
2999,MAR01448,Cholesterol biosynthesis 1 (Bloch pathway)
3000,MAR01454,Cholesterol biosynthesis 1 (Bloch pathway)
3001,MAR01465,Cholesterol biosynthesis 1 (Bloch pathway)
3002,MAR01467,Cholesterol biosynthesis 1 (Bloch pathway)
3003,MAR01470,Cholesterol biosynthesis 1 (Bloch pathway)
3004,MAR01473,Cholesterol biosynthesis 1 (Bloch pathway)
3005,MAR01477,Cholesterol biosynthesis 1 (Bloch pathway)
3006,MAR01478,Cholesterol biosynthesis 1 (Bloch pathway)
3007,MAR01479,Cholesterol biosynthesis 1 (Bloch pathway)
3008,MAR01484,Cholesterol biosynthesis 1 (Bloch pathway)
3009,MAR01490,Cholesterol biosynthesis 1 (Bloch pathway)
3010,MAR01493,Cholesterol biosynthesis 1 (Bloch pathway)
3011,MAR01494,Cholesterol biosynthesis 1 (Bloch pathway)
3012,MAR01495,Cholesterol biosynthesis 1 (Bloch pathway)
3013,MAR01496,Cholesterol biosynthesis 1 (Bloch pathway)
3014,MAR01500,Cholesterol biosynthesis 1 (Bloch pathway)
3015,MAR01502,Cholesterol biosynthesis 1 (Bloch pathway)
3016,MAR01503,Cholesterol biosynthesis 1 (Bloch pathway)
3017,MAR01504,Cholesterol biosynthesis 1 (Bloch pathway)
3018,MAR01505,Cholesterol biosynthesis 1 (Bloch pathway)
3019,MAR01509,Cholesterol biosynthesis 1 (Bloch pathway)
3020,MAR01512,Cholesterol biosynthesis 1 (Bloch pathway)
3021,MAR01516,Cholesterol biosynthesis 1 (Bloch pathway)
3022,MAR01519,Cholesterol biosynthesis 1 (Bloch pathway)
3023,MAR01526,Cholesterol biosynthesis 1 (Bloch pathway)
3024,MAR01533,Cholesterol biosynthesis 2
3025,MAR01557,Cholesterol biosynthesis 2
3026,MAR01558,Cholesterol biosynthesis 2
3027,MAR01565,Cholesterol biosynthesis 2
3028,MAR01535,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3029,MAR01536,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3030,MAR01538,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3031,MAR01539,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3032,MAR01540,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3033,MAR01543,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3034,MAR01544,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3035,MAR01545,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3036,MAR01546,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3037,MAR01547,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3038,MAR01548,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3039,MAR01549,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3040,MAR01550,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3041,MAR01551,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3042,MAR01552,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3043,MAR01553,Cholesterol biosynthesis 3 (Kandustch-Russell pathway)
3044,MAR01437,Cholesterol metabolism
3045,MAR01451,Cholesterol metabolism
3046,MAR01457,Cholesterol metabolism
3047,MAR01460,Cholesterol metabolism
3048,MAR01531,Cholesterol metabolism
3049,MAR01570,Cholesterol metabolism
3050,MAR01576,Cholesterol metabolism
3051,MAR01577,Cholesterol metabolism
3052,MAR03105,Cholesterol metabolism
3053,MAR04630,Cholesterol metabolism
3054,MAR02029,Estrogen metabolism
3055,MAR02030,Estrogen metabolism
3056,MAR02031,Estrogen metabolism
3057,MAR02032,Estrogen metabolism
3058,MAR02033,Estrogen metabolism
3059,MAR02034,Estrogen metabolism
3060,MAR02036,Estrogen metabolism
3061,MAR02037,Estrogen metabolism
3062,MAR02038,Estrogen metabolism
3063,MAR02042,Estrogen metabolism
3064,MAR02043,Estrogen metabolism
3065,MAR02044,Estrogen metabolism
3066,MAR02045,Estrogen metabolism
3067,MAR02046,Estrogen metabolism
3068,MAR02047,Estrogen metabolism
3069,MAR02048,Estrogen metabolism
3070,MAR02049,Estrogen metabolism
3071,MAR02050,Estrogen metabolism
3072,MAR02051,Estrogen metabolism
3073,MAR02052,Estrogen metabolism
3074,MAR02053,Estrogen metabolism
3075,MAR02054,Estrogen metabolism
3076,MAR02055,Estrogen metabolism
3077,MAR02056,Estrogen metabolism
3078,MAR02057,Estrogen metabolism
3079,MAR02058,Estrogen metabolism
3080,MAR02059,Estrogen metabolism
3081,MAR02060,Estrogen metabolism
3082,MAR02061,Estrogen metabolism
3083,MAR02062,Estrogen metabolism
3084,MAR02063,Estrogen metabolism
3085,MAR02064,Estrogen metabolism
3086,MAR02068,Estrogen metabolism
3087,MAR02069,Estrogen metabolism
3088,MAR02070,Estrogen metabolism
3089,MAR02071,Estrogen metabolism
3090,MAR02072,Estrogen metabolism
3091,MAR02073,Estrogen metabolism
3092,MAR02074,Estrogen metabolism
3093,MAR02075,Estrogen metabolism
3094,MAR02076,Estrogen metabolism
3095,MAR02077,Estrogen metabolism
3096,MAR02078,Estrogen metabolism
3097,MAR02079,Estrogen metabolism
3098,MAR02083,Estrogen metabolism
3099,MAR02084,Estrogen metabolism
3100,MAR02085,Estrogen metabolism
3101,MAR02086,Estrogen metabolism
3102,MAR02088,Estrogen metabolism
3103,MAR02089,Estrogen metabolism
3104,MAR02091,Estrogen metabolism
3105,MAR02095,Estrogen metabolism
3106,MAR02096,Estrogen metabolism
3107,MAR02097,Estrogen metabolism
3108,MAR02098,Estrogen metabolism
3109,MAR02099,Estrogen metabolism
3110,MAR02100,Estrogen metabolism
3111,MAR02102,Estrogen metabolism
3112,MAR02106,Estrogen metabolism
3113,MAR02107,Estrogen metabolism
3114,MAR02108,Estrogen metabolism
3115,MAR02109,Estrogen metabolism
3116,MAR02110,Estrogen metabolism
3117,MAR02111,Estrogen metabolism
3118,MAR02112,Estrogen metabolism
3119,MAR02113,Estrogen metabolism
3120,MAR03537,Formation and hydrolysis of cholesterol esters
3121,MAR03538,Formation and hydrolysis of cholesterol esters
3122,MAR03539,Formation and hydrolysis of cholesterol esters
3123,MAR03540,Formation and hydrolysis of cholesterol esters
3124,MAR03541,Formation and hydrolysis of cholesterol esters
3125,MAR03542,Formation and hydrolysis of cholesterol esters
3126,MAR03543,Formation and hydrolysis of cholesterol esters
3127,MAR03544,Formation and hydrolysis of cholesterol esters
3128,MAR03545,Formation and hydrolysis of cholesterol esters
3129,MAR03546,Formation and hydrolysis of cholesterol esters
3130,MAR03547,Formation and hydrolysis of cholesterol esters
3131,MAR03548,Formation and hydrolysis of cholesterol esters
3132,MAR03549,Formation and hydrolysis of cholesterol esters
3133,MAR03550,Formation and hydrolysis of cholesterol esters
3134,MAR03551,Formation and hydrolysis of cholesterol esters
3135,MAR03552,Formation and hydrolysis of cholesterol esters
3136,MAR03553,Formation and hydrolysis of cholesterol esters
3137,MAR03554,Formation and hydrolysis of cholesterol esters
3138,MAR03555,Formation and hydrolysis of cholesterol esters
3139,MAR03556,Formation and hydrolysis of cholesterol esters
3140,MAR03557,Formation and hydrolysis of cholesterol esters
3141,MAR03558,Formation and hydrolysis of cholesterol esters
3142,MAR03559,Formation and hydrolysis of cholesterol esters
3143,MAR03560,Formation and hydrolysis of cholesterol esters
3144,MAR03561,Formation and hydrolysis of cholesterol esters
3145,MAR03562,Formation and hydrolysis of cholesterol esters
3146,MAR03563,Formation and hydrolysis of cholesterol esters
3147,MAR03564,Formation and hydrolysis of cholesterol esters
3148,MAR03565,Formation and hydrolysis of cholesterol esters
3149,MAR03566,Formation and hydrolysis of cholesterol esters
3150,MAR03567,Formation and hydrolysis of cholesterol esters
3151,MAR03568,Formation and hydrolysis of cholesterol esters
3152,MAR03569,Formation and hydrolysis of cholesterol esters
3153,MAR03570,Formation and hydrolysis of cholesterol esters
3154,MAR03571,Formation and hydrolysis of cholesterol esters
3155,MAR03572,Formation and hydrolysis of cholesterol esters
3156,MAR03573,Formation and hydrolysis of cholesterol esters
3157,MAR03574,Formation and hydrolysis of cholesterol esters
3158,MAR03575,Formation and hydrolysis of cholesterol esters
3159,MAR03576,Formation and hydrolysis of cholesterol esters
3160,MAR03577,Formation and hydrolysis of cholesterol esters
3161,MAR03578,Formation and hydrolysis of cholesterol esters
3162,MAR03579,Formation and hydrolysis of cholesterol esters
3163,MAR03580,Formation and hydrolysis of cholesterol esters
3164,MAR03581,Formation and hydrolysis of cholesterol esters
3165,MAR03582,Formation and hydrolysis of cholesterol esters
3166,MAR03583,Formation and hydrolysis of cholesterol esters
3167,MAR03584,Formation and hydrolysis of cholesterol esters
3168,MAR03585,Formation and hydrolysis of cholesterol esters
3169,MAR03586,Formation and hydrolysis of cholesterol esters
3170,MAR03587,Formation and hydrolysis of cholesterol esters
3171,MAR03588,Formation and hydrolysis of cholesterol esters
3172,MAR03589,Formation and hydrolysis of cholesterol esters
3173,MAR03590,Formation and hydrolysis of cholesterol esters
3174,MAR03591,Formation and hydrolysis of cholesterol esters
3175,MAR03592,Formation and hydrolysis of cholesterol esters
3176,MAR03593,Formation and hydrolysis of cholesterol esters
3177,MAR03594,Formation and hydrolysis of cholesterol esters
3178,MAR03595,Formation and hydrolysis of cholesterol esters
3179,MAR03596,Formation and hydrolysis of cholesterol esters
3180,MAR03622,Formation and hydrolysis of cholesterol esters
3181,MAR03625,Formation and hydrolysis of cholesterol esters
3182,MAR03626,Formation and hydrolysis of cholesterol esters
3183,MAR03627,Formation and hydrolysis of cholesterol esters
3184,MAR03628,Formation and hydrolysis of cholesterol esters
3185,MAR03629,Formation and hydrolysis of cholesterol esters
3186,MAR03630,Formation and hydrolysis of cholesterol esters
3187,MAR03631,Formation and hydrolysis of cholesterol esters
3188,MAR03632,Formation and hydrolysis of cholesterol esters
3189,MAR03633,Formation and hydrolysis of cholesterol esters
3190,MAR03634,Formation and hydrolysis of cholesterol esters
3191,MAR03635,Formation and hydrolysis of cholesterol esters
3192,MAR03636,Formation and hydrolysis of cholesterol esters
3193,MAR03637,Formation and hydrolysis of cholesterol esters
3194,MAR03638,Formation and hydrolysis of cholesterol esters
3195,MAR03639,Formation and hydrolysis of cholesterol esters
3196,MAR03640,Formation and hydrolysis of cholesterol esters
3197,MAR03641,Formation and hydrolysis of cholesterol esters
3198,MAR03642,Formation and hydrolysis of cholesterol esters
3199,MAR03643,Formation and hydrolysis of cholesterol esters
3200,MAR03644,Formation and hydrolysis of cholesterol esters
3201,MAR03645,Formation and hydrolysis of cholesterol esters
3202,MAR03646,Formation and hydrolysis of cholesterol esters
3203,MAR03647,Formation and hydrolysis of cholesterol esters
3204,MAR03648,Formation and hydrolysis of cholesterol esters
3205,MAR03649,Formation and hydrolysis of cholesterol esters
3206,MAR03650,Formation and hydrolysis of cholesterol esters
3207,MAR03651,Formation and hydrolysis of cholesterol esters
3208,MAR03652,Formation and hydrolysis of cholesterol esters
3209,MAR03653,Formation and hydrolysis of cholesterol esters
3210,MAR03654,Formation and hydrolysis of cholesterol esters
3211,MAR03655,Formation and hydrolysis of cholesterol esters
3212,MAR03656,Formation and hydrolysis of cholesterol esters
3213,MAR03657,Formation and hydrolysis of cholesterol esters
3214,MAR03658,Formation and hydrolysis of cholesterol esters
3215,MAR03659,Formation and hydrolysis of cholesterol esters
3216,MAR03660,Formation and hydrolysis of cholesterol esters
3217,MAR03661,Formation and hydrolysis of cholesterol esters
3218,MAR03662,Formation and hydrolysis of cholesterol esters
3219,MAR03663,Formation and hydrolysis of cholesterol esters
3220,MAR03664,Formation and hydrolysis of cholesterol esters
3221,MAR03665,Formation and hydrolysis of cholesterol esters
3222,MAR03666,Formation and hydrolysis of cholesterol esters
3223,MAR03667,Formation and hydrolysis of cholesterol esters
3224,MAR03668,Formation and hydrolysis of cholesterol esters
3225,MAR03669,Formation and hydrolysis of cholesterol esters
3226,MAR03670,Formation and hydrolysis of cholesterol esters
3227,MAR03671,Formation and hydrolysis of cholesterol esters
3228,MAR03672,Formation and hydrolysis of cholesterol esters
3229,MAR03673,Formation and hydrolysis of cholesterol esters
3230,MAR03674,Formation and hydrolysis of cholesterol esters
3231,MAR03675,Formation and hydrolysis of cholesterol esters
3232,MAR03676,Formation and hydrolysis of cholesterol esters
3233,MAR03677,Formation and hydrolysis of cholesterol esters
3234,MAR03678,Formation and hydrolysis of cholesterol esters
3235,MAR03679,Formation and hydrolysis of cholesterol esters
3236,MAR03680,Formation and hydrolysis of cholesterol esters
3237,MAR03681,Formation and hydrolysis of cholesterol esters
3238,MAR03682,Formation and hydrolysis of cholesterol esters
3239,MAR03683,Formation and hydrolysis of cholesterol esters
3240,MAR03684,Formation and hydrolysis of cholesterol esters
3241,MAR03685,Formation and hydrolysis of cholesterol esters
3242,MAR03686,Formation and hydrolysis of cholesterol esters
3243,MAR03687,Formation and hydrolysis of cholesterol esters
3244,MAR03688,Formation and hydrolysis of cholesterol esters
3245,MAR03689,Formation and hydrolysis of cholesterol esters
3246,MAR03690,Formation and hydrolysis of cholesterol esters
3247,MAR03691,Formation and hydrolysis of cholesterol esters
3248,MAR03692,Formation and hydrolysis of cholesterol esters
3249,MAR03693,Formation and hydrolysis of cholesterol esters
3250,MAR03694,Formation and hydrolysis of cholesterol esters
3251,MAR03695,Formation and hydrolysis of cholesterol esters
3252,MAR03696,Formation and hydrolysis of cholesterol esters
3253,MAR03697,Formation and hydrolysis of cholesterol esters
3254,MAR03698,Formation and hydrolysis of cholesterol esters
3255,MAR03699,Formation and hydrolysis of cholesterol esters
3256,MAR03700,Formation and hydrolysis of cholesterol esters
3257,MAR03701,Formation and hydrolysis of cholesterol esters
3258,MAR03702,Formation and hydrolysis of cholesterol esters
3259,MAR03703,Formation and hydrolysis of cholesterol esters
3260,MAR03704,Formation and hydrolysis of cholesterol esters
3261,MAR03705,Formation and hydrolysis of cholesterol esters
3262,MAR03706,Formation and hydrolysis of cholesterol esters
3263,MAR03707,Formation and hydrolysis of cholesterol esters
3264,MAR03708,Formation and hydrolysis of cholesterol esters
3265,MAR03709,Formation and hydrolysis of cholesterol esters
3266,MAR03710,Formation and hydrolysis of cholesterol esters
3267,MAR03711,Formation and hydrolysis of cholesterol esters
3268,MAR03712,Formation and hydrolysis of cholesterol esters
3269,MAR03713,Formation and hydrolysis of cholesterol esters
3270,MAR03714,Formation and hydrolysis of cholesterol esters
3271,MAR03715,Formation and hydrolysis of cholesterol esters
3272,MAR03716,Formation and hydrolysis of cholesterol esters
3273,MAR03717,Formation and hydrolysis of cholesterol esters
3274,MAR03718,Formation and hydrolysis of cholesterol esters
3275,MAR03719,Formation and hydrolysis of cholesterol esters
3276,MAR03720,Formation and hydrolysis of cholesterol esters
3277,MAR03721,Formation and hydrolysis of cholesterol esters
3278,MAR03722,Formation and hydrolysis of cholesterol esters
3279,MAR03723,Formation and hydrolysis of cholesterol esters
3280,MAR03724,Formation and hydrolysis of cholesterol esters
3281,MAR03725,Formation and hydrolysis of cholesterol esters
3282,MAR03726,Formation and hydrolysis of cholesterol esters
3283,MAR03727,Formation and hydrolysis of cholesterol esters
3284,MAR03728,Formation and hydrolysis of cholesterol esters
3285,MAR03729,Formation and hydrolysis of cholesterol esters
3286,MAR03730,Formation and hydrolysis of cholesterol esters
3287,MAR03731,Formation and hydrolysis of cholesterol esters
3288,MAR03732,Formation and hydrolysis of cholesterol esters
3289,MAR03733,Formation and hydrolysis of cholesterol esters
3290,MAR03734,Formation and hydrolysis of cholesterol esters
3291,MAR03735,Formation and hydrolysis of cholesterol esters
3292,MAR03736,Formation and hydrolysis of cholesterol esters
3293,MAR03737,Formation and hydrolysis of cholesterol esters
3294,MAR03738,Formation and hydrolysis of cholesterol esters
3295,MAR03739,Formation and hydrolysis of cholesterol esters
3296,MAR03740,Formation and hydrolysis of cholesterol esters
3297,MAR03741,Formation and hydrolysis of cholesterol esters
3298,MAR03742,Formation and hydrolysis of cholesterol esters
3299,MAR00715,Sphingolipid metabolism
3300,MAR00716,Sphingolipid metabolism
3301,MAR00733,Sphingolipid metabolism
3302,MAR00735,Sphingolipid metabolism
3303,MAR00736,Sphingolipid metabolism
3304,MAR00738,Sphingolipid metabolism
3305,MAR00741,Sphingolipid metabolism
3306,MAR00744,Sphingolipid metabolism
3307,MAR00746,Sphingolipid metabolism
3308,MAR00748,Sphingolipid metabolism
3309,MAR00750,Sphingolipid metabolism
3310,MAR00753,Sphingolipid metabolism
3311,MAR00754,Sphingolipid metabolism
3312,MAR00758,Sphingolipid metabolism
3313,MAR00760,Sphingolipid metabolism
3314,MAR00761,Sphingolipid metabolism
3315,MAR00762,Sphingolipid metabolism
3316,MAR00763,Sphingolipid metabolism
3317,MAR00765,Sphingolipid metabolism
3318,MAR00766,Sphingolipid metabolism
3319,MAR00767,Sphingolipid metabolism
3320,MAR00773,Sphingolipid metabolism
3321,MAR00775,Sphingolipid metabolism
3322,MAR00779,Sphingolipid metabolism
3323,MAR00781,Sphingolipid metabolism
3324,MAR00783,Sphingolipid metabolism
3325,MAR00795,Sphingolipid metabolism
3326,MAR08147,Sphingolipid metabolism
3327,MAR08148,Sphingolipid metabolism
3328,MAR08149,Sphingolipid metabolism
3329,MAR08150,Sphingolipid metabolism
3330,MAR08151,Sphingolipid metabolism
3331,MAR08152,Sphingolipid metabolism
3332,MAR08155,Sphingolipid metabolism
3333,MAR08156,Sphingolipid metabolism
3334,MAR08159,Sphingolipid metabolism
3335,MAR08162,Sphingolipid metabolism
3336,MAR08165,Sphingolipid metabolism
3337,MAR08166,Sphingolipid metabolism
3338,MAR08167,Sphingolipid metabolism
3339,MAR08168,Sphingolipid metabolism
3340,MAR08169,Sphingolipid metabolism
3341,MAR08170,Sphingolipid metabolism
3342,MAR08171,Sphingolipid metabolism
3343,MAR08172,Sphingolipid metabolism
3344,MAR08173,Sphingolipid metabolism
3345,MAR08174,Sphingolipid metabolism
3346,MAR08175,Sphingolipid metabolism
3347,MAR08176,Sphingolipid metabolism
3348,MAR08177,Sphingolipid metabolism
3349,MAR08178,Sphingolipid metabolism
3350,MAR08179,Sphingolipid metabolism
3351,MAR08180,Sphingolipid metabolism
3352,MAR08181,Sphingolipid metabolism
3353,MAR08182,Sphingolipid metabolism
3354,MAR08183,Sphingolipid metabolism
3355,MAR08184,Sphingolipid metabolism
3356,MAR08185,Sphingolipid metabolism
3357,MAR08186,Sphingolipid metabolism
3358,MAR08187,Sphingolipid metabolism
3359,MAR08188,Sphingolipid metabolism
3360,MAR08189,Sphingolipid metabolism
3361,MAR08190,Sphingolipid metabolism
3362,MAR08191,Sphingolipid metabolism
3363,MAR08192,Sphingolipid metabolism
3364,MAR08194,Sphingolipid metabolism
3365,MAR08197,Sphingolipid metabolism
3366,MAR08198,Sphingolipid metabolism
3367,MAR08201,Sphingolipid metabolism
3368,MAR00786,Sphingolipid metabolism
3369,MAR08206,Sphingolipid metabolism
3370,MAR08209,Sphingolipid metabolism
3371,MAR08210,Sphingolipid metabolism
3372,MAR08211,Sphingolipid metabolism
3373,MAR08212,Sphingolipid metabolism
3374,MAR08217,Sphingolipid metabolism
3375,MAR08219,Sphingolipid metabolism
3376,MAR08220,Sphingolipid metabolism
3377,MAR08221,Sphingolipid metabolism
3378,MAR08224,Sphingolipid metabolism
3379,MAR08226,Sphingolipid metabolism
3380,MAR08227,Sphingolipid metabolism
3381,MAR08228,Sphingolipid metabolism
3382,MAR08233,Sphingolipid metabolism
3383,MAR08235,Sphingolipid metabolism
3384,MAR08237,Sphingolipid metabolism
3385,MAR08238,Sphingolipid metabolism
3386,MAR08242,Sphingolipid metabolism
3387,MAR08245,Sphingolipid metabolism
3388,MAR08246,Sphingolipid metabolism
3389,MAR08248,Sphingolipid metabolism
3390,MAR08249,Sphingolipid metabolism
3391,MAR08250,Sphingolipid metabolism
3392,MAR08251,Sphingolipid metabolism
3393,MAR00453,Glycerolipid metabolism
3394,MAR00456,Glycerolipid metabolism
3395,MAR00458,Glycerolipid metabolism
3396,MAR00459,Glycerolipid metabolism
3397,MAR00463,Glycerolipid metabolism
3398,MAR00486,Glycerolipid metabolism
3399,MAR00487,Glycerolipid metabolism
3400,MAR00488,Glycerolipid metabolism
3401,MAR00489,Glycerolipid metabolism
3402,MAR00490,Glycerolipid metabolism
3403,MAR00491,Glycerolipid metabolism
3404,MAR00492,Glycerolipid metabolism
3405,MAR00493,Glycerolipid metabolism
3406,MAR00494,Glycerolipid metabolism
3407,MAR00495,Glycerolipid metabolism
3408,MAR00496,Glycerolipid metabolism
3409,MAR00497,Glycerolipid metabolism
3410,MAR00498,Glycerolipid metabolism
3411,MAR00499,Glycerolipid metabolism
3412,MAR00500,Glycerolipid metabolism
3413,MAR00501,Glycerolipid metabolism
3414,MAR00502,Glycerolipid metabolism
3415,MAR00503,Glycerolipid metabolism
3416,MAR00504,Glycerolipid metabolism
3417,MAR00505,Glycerolipid metabolism
3418,MAR00506,Glycerolipid metabolism
3419,MAR00507,Glycerolipid metabolism
3420,MAR00508,Glycerolipid metabolism
3421,MAR00509,Glycerolipid metabolism
3422,MAR00510,Glycerolipid metabolism
3423,MAR00511,Glycerolipid metabolism
3424,MAR00512,Glycerolipid metabolism
3425,MAR00513,Glycerolipid metabolism
3426,MAR00514,Glycerolipid metabolism
3427,MAR00515,Glycerolipid metabolism
3428,MAR00516,Glycerolipid metabolism
3429,MAR00517,Glycerolipid metabolism
3430,MAR00518,Glycerolipid metabolism
3431,MAR00519,Glycerolipid metabolism
3432,MAR00520,Glycerolipid metabolism
3433,MAR00521,Glycerolipid metabolism
3434,MAR00522,Glycerolipid metabolism
3435,MAR00523,Glycerolipid metabolism
3436,MAR00524,Glycerolipid metabolism
3437,MAR00525,Glycerolipid metabolism
3438,MAR00526,Glycerolipid metabolism
3439,MAR00527,Glycerolipid metabolism
3440,MAR00528,Glycerolipid metabolism
3441,MAR00529,Glycerolipid metabolism
3442,MAR00530,Glycerolipid metabolism
3443,MAR00531,Glycerolipid metabolism
3444,MAR00532,Glycerolipid metabolism
3445,MAR00533,Glycerolipid metabolism
3446,MAR00534,Glycerolipid metabolism
3447,MAR00535,Glycerolipid metabolism
3448,MAR00536,Glycerolipid metabolism
3449,MAR00537,Glycerolipid metabolism
3450,MAR00538,Glycerolipid metabolism
3451,MAR00539,Glycerolipid metabolism
3452,MAR00540,Glycerolipid metabolism
3453,MAR00541,Glycerolipid metabolism
3454,MAR00542,Glycerolipid metabolism
3455,MAR00543,Glycerolipid metabolism
3456,MAR00544,Glycerolipid metabolism
3457,MAR00588,Glycerolipid metabolism
3458,MAR00596,Glycerolipid metabolism
3459,MAR00673,Glycerolipid metabolism
3460,MAR00674,Glycerolipid metabolism
3461,MAR00675,Glycerolipid metabolism
3462,MAR00676,Glycerolipid metabolism
3463,MAR00677,Glycerolipid metabolism
3464,MAR00678,Glycerolipid metabolism
3465,MAR04296,Glycerolipid metabolism
3466,MAR04390,Glycerolipid metabolism
3467,MAR05254,Glycerolipid metabolism
3468,MAR07599,Glycerolipid metabolism
3469,MAR00448,Glycerophospholipid metabolism
3470,MAR00450,Glycerophospholipid metabolism
3471,MAR00468,Glycerophospholipid metabolism
3472,MAR00478,Glycerophospholipid metabolism
3473,MAR00479,Glycerophospholipid metabolism
3474,MAR00481,Glycerophospholipid metabolism
3475,MAR00483,Glycerophospholipid metabolism
3476,MAR00482,Glycerophospholipid metabolism
3477,MAR00484,Glycerophospholipid metabolism
3478,MAR00579,Glycerophospholipid metabolism
3479,MAR00580,Glycerophospholipid metabolism
3480,MAR00581,Glycerophospholipid metabolism
3481,MAR00582,Glycerophospholipid metabolism
3482,MAR00584,Glycerophospholipid metabolism
3483,MAR00586,Glycerophospholipid metabolism
3484,MAR00589,Glycerophospholipid metabolism
3485,MAR00590,Glycerophospholipid metabolism
3486,MAR00591,Glycerophospholipid metabolism
3487,MAR00592,Glycerophospholipid metabolism
3488,MAR00593,Glycerophospholipid metabolism
3489,MAR00594,Glycerophospholipid metabolism
3490,MAR00597,Glycerophospholipid metabolism
3491,MAR00598,Glycerophospholipid metabolism
3492,MAR00599,Glycerophospholipid metabolism
3493,MAR00600,Glycerophospholipid metabolism
3494,MAR00601,Glycerophospholipid metabolism
3495,MAR00602,Glycerophospholipid metabolism
3496,MAR00607,Glycerophospholipid metabolism
3497,MAR00610,Glycerophospholipid metabolism
3498,MAR00613,Glycerophospholipid metabolism
3499,MAR00614,Glycerophospholipid metabolism
3500,MAR00615,Glycerophospholipid metabolism
3501,MAR00616,Glycerophospholipid metabolism
3502,MAR00622,Glycerophospholipid metabolism
3503,MAR00623,Glycerophospholipid metabolism
3504,MAR00625,Glycerophospholipid metabolism
3505,MAR00627,Glycerophospholipid metabolism
3506,MAR00629,Glycerophospholipid metabolism
3507,MAR00630,Glycerophospholipid metabolism
3508,MAR00632,Glycerophospholipid metabolism
3509,MAR00633,Glycerophospholipid metabolism
3510,MAR00634,Glycerophospholipid metabolism
3511,MAR00635,Glycerophospholipid metabolism
3512,MAR00636,Glycerophospholipid metabolism
3513,MAR00638,Glycerophospholipid metabolism
3514,MAR00640,Glycerophospholipid metabolism
3515,MAR00641,Glycerophospholipid metabolism
3516,MAR00642,Glycerophospholipid metabolism
3517,MAR00643,Glycerophospholipid metabolism
3518,MAR00644,Glycerophospholipid metabolism
3519,MAR00645,Glycerophospholipid metabolism
3520,MAR00646,Glycerophospholipid metabolism
3521,MAR00647,Glycerophospholipid metabolism
3522,MAR00648,Glycerophospholipid metabolism
3523,MAR00649,Glycerophospholipid metabolism
3524,MAR00651,Glycerophospholipid metabolism
3525,MAR00653,Glycerophospholipid metabolism
3526,MAR00654,Glycerophospholipid metabolism
3527,MAR00657,Glycerophospholipid metabolism
3528,MAR00660,Glycerophospholipid metabolism
